Question ID,Tags,INCOSE Handbook Category,question,choiceA,choiceB,choiceC,choiceD,answer,label,Justification,osq_suitable,suitability_score,confidence_level,classification_justification,osq_prompt,expected_answer,full_credit_criteria,partial_credit_criteria,no_credit_criteria,blooms_level,blooms_justification
757,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,Which Services Viewpoint model is utilized to visualize the interactions among services themselves?,SvcV-3a Systems-Services Matrix,SvcV-3b Services-Services Matrix,SvcV-2 Services Resource Flow Description,SvcV-1 Services Context Description,B,1,"The SvcV-3b Services-Services Matrix is designed to show the interactions among services, providing a matrix view of how services interact and depend on one another within the architectureâ€‹â€‹.",Yes,9,9,"It targets a specific, canonical model name that can be stated succinctly and assessed without options. Removing choices doesn’t meaningfully increase ambiguity, and the answer fits in a short phrase, preserving the construct and intent. Minor overlap with related SvcV artifacts exists, but the phrasing points clearly to a single model.","In the DoDAF Services Viewpoint, which specific model is used to visualize interactions among services themselves? Answer with the exact model name or identifier (1 short phrase).",SvcV-3b (Services-Services Matrix),"2 points: Identifies the correct model as ""SvcV-3b"" and/or its full name ""Services-Services Matrix."" Acceptable variants include: ""SvcV 3b"", ""SVCV-3b"", ""DoDAF SvcV-3b"", ""SvcV-3b Services–Services Matrix"", ""Services-to-Services Matrix."" Case and hyphenation/punctuation variations are acceptable.","1 point: Conveys the correct concept but with incomplete or slightly incorrect labeling, such as ""SvcV-3"" (missing the 'b'), or provides the title ""Services-Services Matrix"" without the identifier, or minor identifier typos like ""SvcV-3B"" while clearly indicating services-to-services interactions.","0 points: Names an incorrect model (e.g., ""SvcV-3a Systems-Services Matrix,"" ""SvcV-2 Services Resource Flow Description,"" ""SvcV-1 Services Context Description"") or provides a vague/irrelevant answer that does not identify the services-to-services interaction model.",Remember,"The prompt requires recall of a specific DoDAF model name/identifier associated with a known purpose, without interpretation or analysis."
758,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,What aspect of services does the SvcV-5 Operational Activity to Services Traceability matrix emphasize in DoDAF's Services Viewpoint?,The alignment of services with specific operational activities,The cost analysis for each service,The security measures applied to each service,The physical deployment locations for services,A,0,"SvcV-5 focuses on tracing services to the operational activities they support, highlighting how services align with and enable specific operational functions.",Yes,9,9,"This is a definitional mapping question with a clear canonical answer: it emphasizes traceability of services to operational activities (i.e., mapping service functionality to operational needs). It can be answered succinctly without options, with minimal ambiguity and preserved construct.","In DoDAF’s Services Viewpoint, what does the SvcV-5 Operational Activity to Services Traceability matrix emphasize? Answer in 1 sentence.",The traceability/alignment of services to the operational activities they support.,"2 points: Clearly states that SvcV-5 emphasizes mapping/traceability/alignment of services to the operational activities (operational functions/mission activities) they support. Acceptable synonyms: ""mapping,"" ""linking,"" ""association""; acceptable variants for operational activities: ""operational functions,"" ""mission activities,"" ""OV-5 activities.""","1 point: Conveys a linkage between services and operations in general but is incomplete or less precise (e.g., ""shows how services support operations"" or ""maps services to activities"" without specifying operational activities). Directionality need not be perfect if the core idea of service-to-operations linkage is present.","0 points: Mentions unrelated emphases (e.g., cost analysis, security controls, physical deployment/locations, performance), is purely vague (e.g., ""it shows details about services""), or omits the idea of mapping/traceability between services and operational activities.",Remember,The task requires recalling a specific fact about the purpose of the SvcV-5 matrix without analysis or application.
759,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,Which Services Viewpoint model describes the current standards and implementation guidelines and future implementations for services?,SvcV-6 Services Resource Flow Matrix,SvcV-7 Services Measures Matrix,SvcV-8 Services Evolution Description,SvcV-10b Services State Transition Description,C,2,"The SvcV-8 Services Evolution Description outlines the standards, implementation guidelines, and evolution details for services, providing a roadmap for how services are expected to change over time.",No,3,3,"The item relies on framework-specific nomenclature where multiple candidates could plausibly fit without options (e.g., SvcV-8, SvcV-9, or even StdV-1/2), so removing choices introduces major ambiguity and risks construct drift. A single canonical answer is not clear from the stem alone, making it poorly suited for open-ended conversion despite the brief expected response length.",,,,,,,
760,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,How does the SvcV-10a Services Rules Model assist in the governance of service-oriented architectures?,By detailing the physical interconnections between services,By providing a list of all services and their characteristics,By specifying rules and conditions that govern service interactions,By mapping services to the systems they support,C,2,"SvcV-10a Services Rules Model specifies the rules and conditions that govern the interactions and operations of services, critical for maintaining consistency and functionality within service-oriented architectures.",Yes,9,9,"The question targets a definitional/conceptual core—the SvcV-10a specifies rules and constraints governing services—so a clear canonical short answer exists. Removing options does not introduce major ambiguity and the expected response fits in 1–3 sentences, preserving the construct’s intent. Minor rewording can tighten scope, meeting the EXCELLENT rubric anchors.","In the context of DoDAF, how does the SvcV-10a Services Rules Model assist in governing a service-oriented architecture? Answer in 1–2 sentences.",It specifies the rules and conditions (constraints/policies) that govern service interactions and operations in a service-oriented architecture.,"2 points: The answer clearly states that SvcV-10a defines/specifies rules and conditions (acceptable synonyms: constraints, policies, business rules) that govern/guide/control interactions and operations/behavior among services.","1 point: The answer mentions governance of service interactions or behavior but is incomplete (e.g., references governance or constraints without explicitly tying them to rules/conditions; or notes rules/policies without stating they govern service interactions/operations).","0 points: The answer describes unrelated functions (e.g., listing services and characteristics, mapping services to systems, detailing physical interconnections) or is too vague (e.g., ""supports SOA"" with no mention of rules/conditions or interactions).",Remember,"The task asks for recall of the defined purpose of a specific DoDAF model without requiring explanation, inference, or application."
761,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,Which model provides a snapshot of service metrics for a given timeframe?,SvcV-7 Services Measures Matrix,SvcV-9 Service Technology & Skills Forecast,SvcV-11 Service Standards Profile,SvcV-6 Services Resource Flow Matrix,A,0,"SvcV-7 Services Measures Matrix offers a detailed view of service performance metrics and the status of capability achievements, enabling the assessment of service effectiveness and alignment with operational goals.",No,3,3,"Without options, several plausible terms (e.g., dashboard, scorecard, balanced scorecard) could fit, making the item ambiguous and heavily option-dependent. A single canonical answer is not ensured and removing options risks construct drift, even though the expected response is brief. This aligns with the POOR level in the rubric.",,,,,,,
762,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,What is the primary focus of the SvcV-9 Service Technology & Skills Forecast within the DoDAF Services Viewpoint?,To track the relationships of services,To forecast future technology developments and required skills for service management,To provide a cost-benefit analysis for each service,To document the physical and cybersecurity measures for each service,B,1,"SvcV-9 Service Technology & Skills Forecast projects future technology developments and the skills needed to manage and sustain service offerings, aiding in strategic planning for technology adoption and workforce development.",Yes,9,9,"The item targets a well-defined artifact in DoDAF: SvcV-9’s canonical purpose is to forecast emerging service technologies and required skills over time and their impacts. It is assessable without options, with minimal ambiguity, and the expected answer fits in 1–2 sentences, preserving the construct. Minor wording choices aside, removing options does not change what is being measured.","Within the DoDAF Services Viewpoint, state the primary focus of the SvcV-9 Service Technology & Skills Forecast. Answer in 1 sentence.",To forecast future technology developments and the skills required to manage and sustain services.,"2 points: Clearly states that SvcV-9 forecasts (projects/anticipates) future technology developments AND identifies the skills (workforce competencies) needed for service management/operation/sustainment. Acceptable synonyms include: ""emerging technologies,"" ""technology trends,"" ""skills/competencies/workforce needs,"" and ""service management/operations/sustainment.""","1 point: Mentions only one of the two essential elements (either forecasting technology developments or identifying required skills), or conveys both elements vaguely (e.g., implies planning for tech and workforce without explicitly stating forecasting of technology and skills).","0 points: Describes unrelated focuses such as service relationships, cost-benefit analysis, or security measures; or provides an answer that omits both forecasting technology and required skills. Off-topic, generic, or empty responses receive no credit.",Remember,The task requires recalling the defined purpose of a specific DoDAF artifact (SvcV-9) without analysis or application.
763,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,What is the primary purpose of the StdV-1 Standards Profile in DoDAF's Standards Viewpoint?,To list the physical deployment of systems,"To list and describe the standards, policies, and guidance applicable to the architecture",To provide a financial audit of the standards implementation,To document the operational procedures of the architecture,B,1,"The StdV-1 Standards Profile defines the technical, operational, and business standards, guidance, and policy applicable to the architecture, ensuring that all aspects are compliant and adhere to the required frameworks .",Yes,10,10,"This is a definitional/purpose question with a clear canonical answer (StdV-1 lists the applicable standards governing the architecture). Removing options does not add ambiguity or change the construct being measured, and the expected response fits in one concise sentence. The scope is tight and the intent/semantics are preserved after conversion.","In DoDAF's Standards Viewpoint, what is the primary purpose of the StdV-1 Standards Profile? Answer in 1–2 sentences.","To list and describe the standards, policies, and guidance (technical, operational, and business) that apply to the architecture.","3 points total:
- 2 pts: Clearly states that StdV-1 lists/describes standards that are applicable to the architecture (must include both the idea of standards and applicability to the architecture; acceptable synonyms include ""catalogs,"" ""profiles,"" ""defines,"" ""governing standards,"" ""constraints"").
- 1 pt: Explicitly mentions policies and/or guidance (or indicates coverage across technical, operational, and business domains).
Acceptable variants: ""Defines the architecture’s standards profile,"" ""Catalog of governing standards, policies, and guidance for the architecture,"" references to compliance as a consequence are acceptable but not required.","2 points: Mentions listing/defining standards for the architecture but omits policies/guidance (or domain breadth).
1 point: Mentions standards/policies/guidance in general terms without tying them to the architecture, or mentions policies/guidance applying to the architecture but fails to mention standards explicitly.
Common minor errors allowed: vague phrasing like ""documents standards"" if ""for the architecture"" is implied elsewhere.","0 points: States or implies incorrect purposes (e.g., documenting operational procedures, listing physical deployments, providing financial audits), or provides an unrelated or empty response. Omits any reference to standards entirely.",Remember,The task asks for recall of a specific definitional purpose of a DoDAF product (StdV-1) without requiring interpretation or application.
764,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,What does the StdV-2 Standards Forecast model describe within the DoDAF Standards Viewpoint?,The relationships between standards,The timeline for emerging standards and their potential impacts on the architecture,The historical development of standards,The financial implications of adopting new standards,B,1,"The StdV-2 Standards Forecast describes emerging standards and forecasts their potential impacts on the current architecture, helping in planning and adaptation for future developments .",Yes,10,10,"This is a definitional item with a clear canonical answer (StdV-2 describes a time-phased forecast of emerging/evolving standards and their impacts). Removing options does not introduce ambiguity or change the construct, and the expected response fits in 1–2 sentences. The scope is tight and the intent/semantics are preserved in an OSQ format.","Within the DoDAF Standards Viewpoint, what does the StdV-2 Standards Forecast describe? Answer in 1–2 sentences.",It describes the timeline/forecast of emerging standards and their potential impacts on the architecture.,"2 points: The response clearly states both (a) that StdV-2 provides a time-based forecast/roadmap/timeline of emerging standards, and (b) that it identifies their anticipated/potential impacts/effects/implications on the (current or target) architecture. Accept synonyms such as ""roadmap,"" ""maturation timeline,"" ""anticipated effects,"" or ""implications for the architecture.""","1 point: Mentions only one of the two required elements (e.g., describes a forecast/timeline of emerging standards but omits impacts on the architecture, or discusses impacts on the architecture but omits the time-based forecast aspect). Minor wording issues are acceptable if intent is clear.","0 points: Describes unrelated concepts (e.g., relationships among standards, historical development, financial/cost implications), is too vague (e.g., ""it lists standards""), or fails to mention emerging standards and either the time-based aspect or the architectural impact.",Remember,The task requires recalling a specific definition/function of a DoDAF artifact (StdV-2) without interpretation or application.
765,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,How does the Standards Viewpoint support decision-making in DoDAF V2.0?,By documenting technical requirements only,By detailing standards that guide the architecture's development and operation,By providing a visual representation of the architectural layout,By tracking the personnel involved in architecture development,B,1,"The Standards Viewpoint articulates standards, guidelines, and policies that guide the architecture's development and operation, ensuring alignment with both current and future requirements .",Yes,9,9,"This is a definitional/role question with a clear canonical core answer: StdV provides standards profiles/forecasts to guide interoperability, compliance, and implementation decisions. It can be answered concisely in 1–3 sentences without options and removing choices does not add meaningful ambiguity or alter the construct. Fits the EXCELLENT rubric: clear answer, minimal ambiguity, tight scope, and preserved intent.","In DoDAF V2.0, how does the Standards Viewpoint support decision-making? Answer in 1–2 sentences.","It details the standards, guidelines, and policies that govern the architecture’s development and operation, thereby informing decisions and ensuring alignment/compliance with current and future requirements.","3 points: The response states that the Standards Viewpoint articulates or details applicable standards/guidelines/policies AND explicitly ties them to guiding the architecture’s development and operation AND notes their role in informing decisions or ensuring alignment/compliance. Acceptable synonyms: ""prescribes applicable standards,"" ""establishes governing rules/constraints,"" ""sets compliance criteria,"" ""guides development and operations.""",1–2 points: 2 points if the response mentions standards guiding the architecture but omits either development/operation linkage or the decision-making/alignment aspect. 1 point if it references policies/standards/compliance in general terms without clearly connecting to both development/operation and decision-making. Minor wording differences acceptable if the core idea of standards guiding the architecture is present.,"0 points: Mentions unrelated functions (e.g., visual layout, personnel tracking, listing technical requirements only), provides only generic statements with no reference to standards, or is factually incorrect/irrelevant.",Understand,"The task asks the respondent to explain the role of the Standards Viewpoint in decision-making, demonstrating comprehension of its function rather than mere recall of a term."
766,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,In what way does the Standards Viewpoint assist with interoperability within the architecture?,By ensuring all components are from the same manufacturer,By mandating the use of a single technology platform,By establishing common standards and guidelines that promote compatibility,By focusing solely on the operational aspects of architecture,C,2,"By defining and applying common standards and guidelines, the Standards Viewpoint promotes interoperability and compatibility across different components and systems within the architecture .",Yes,9,9,"There is a clear canonical answer: it identifies and mandates applicable technical standards and constraints so systems use compatible interfaces, enabling interoperability. The scope is tight and answerable in 1–2 sentences without options, with minimal ambiguity and preserved intent.",How does the Standards Viewpoint assist with interoperability within an architecture? Answer in 1–2 sentences.,"By establishing common standards and guidelines (e.g., interfaces, protocols) that ensure compatibility across components and systems, thereby promoting interoperability.","2 points: Clearly states that the Standards Viewpoint establishes/defines/applies common standards and guidelines (accept: protocols, interfaces, reference models) and explicitly links this to ensuring compatibility or promoting interoperability across components/systems.",1 point: Mentions standards/standardization or guidelines but does not clearly connect them to compatibility/interoperability; OR mentions interoperability/compatibility benefits without clearly attributing them to common standards/guidelines.,"0 points: Asserts incorrect mechanisms (e.g., requiring same manufacturer, mandating a single technology platform, focusing only on operations) or provides irrelevant/vague statements with no mention of standards/guidelines or interoperability/compatibility.",Understand,"The task requires explaining the role of the Standards Viewpoint in promoting interoperability, demonstrating conceptual understanding rather than mere recall of a term."
767,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,What is the primary purpose of the SV-1 Systems Interface Description in the Systems Viewpoint of DoDAF?,To specify the operational activities each system performs,To document the interconnections between systems and their components,To provide a timeline for system implementation,To outline the financial aspects of system maintenance,B,1,"SV-1 Systems Interface Description focuses on identifying systems and their items, specifically detailing their interconnections, which is critical for understanding how systems interact within the broader architecture .",Yes,9,9,"This is a definition-style prompt with a clear canonical answer (SV-1 describes systems, their interfaces, and resource flows/interconnections), so it can be assessed without options. The scope is tight and answerable in 1–2 sentences, and removing options does not change the construct. Minor wording variations are possible but do not introduce substantive ambiguity.","In the DoDAF Systems Viewpoint, what is the primary purpose of the SV-1 Systems Interface Description? Answer in 1 sentence.",To describe/document the interfaces and interconnections between systems and their components (system elements) within the architecture.,"2 points: Clearly states that SV-1 describes/documents interfaces or interconnections among systems and their components/elements. Acceptable synonyms: ""depicts,"" ""details,"" ""shows"" for describe; ""interfaces,"" ""interconnections,"" ""links,"" ""relationships"" for interfaces; ""components,"" ""subsystems,"" ""system elements"" for components.","1 point: Mentions identifying systems and their components/elements but omits or is vague about interfaces/interconnections; or mentions system relationships without explicitly tying them to interfaces. Answers that imply structural linkage (e.g., ""shows how systems connect"") without mentioning components earn 1 point.","0 points: Describes operational activities/functions, timelines/schedules, costs/financial aspects, or any purpose unrelated to system interfaces/interconnections; or provides an irrelevant or non-responsive answer.",Remember,"The prompt asks for recall of the standard purpose/definition of a specific DoDAF artifact (SV-1), requiring retrieval of factual knowledge."
768,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,What does the SV-2 Systems Resource Flow Description model illustrate?,The hierarchical structure of systems within the architecture,The resource flows exchanged between systems,The security protocols of systems,The budget allocation for each system,B,1,"SV-2 Systems Resource Flow Description describes the types of resources exchanged between systems, such as data or services, which helps in planning and managing the system's interactions within the operational landscape .",Yes,9,9,"This is a definition-style question with a clear, canonical answer (it depicts resource flows exchanged between systems, typically including interfaces/ports and items that flow). It can be answered concisely without options, with minimal ambiguity and no construct drift; scope fits a 1–2 sentence response. Minor variations in expected detail (e.g., ports/attributes) prevent a perfect 10.","In DoDAF, what does the SV-2 Systems Resource Flow Description model illustrate? Answer in 1–2 sentences.","It illustrates the resource flows exchanged between systems—the types of resources (e.g., data, services) that pass between systems.","2 points: Clearly states that SV-2 shows the resource flows exchanged between systems. Acceptable phrasings include: ""resource flows between systems,"" ""exchanges of resources between systems,"" ""data/service (or information) flows between systems,"" or ""what resources (e.g., data, services) move between systems."" Must indicate both the notion of flows/exchanges and that they are between systems.","1 point: Mentions system-to-system interactions or interfaces without explicitly identifying them as resource flows (e.g., ""shows interactions between systems"" or ""shows interfaces between systems""), or mentions resource flows without clearly indicating they are between systems.","0 points: Describes unrelated aspects such as system hierarchy/structure, security protocols, budgets/costs, or any answer that does not mention flows/exchanges or misattributes the viewpoint’s purpose.",Remember,The task requires recalling the specific purpose/definition of a standard architectural view (SV-2) without interpretation or application.
769,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,Which model in the Systems Viewpoint provides a matrix representation of system-to-system relationships?,SV-3 Systems-Systems Matrix,SV-4 Systems Functionality Description,SV-5b Operational Activity to Systems Traceability Matrix,SV-6 Systems Resource Flow Matrix,A,0,"SV-3 Systems-Systems Matrix maps the relationships among systems within the architecture, offering insights into how systems are interconnected and the nature of their interfaces .",Yes,9,9,"There is a clear canonical answer (SV-3 Systems-Systems Matrix) that can be given without options, and the scope is a brief phrase. Removing options does not change the construct; minor potential confusion with other SV matrices is mitigated by the specific ‘system-to-system relationships’ wording, preserving intent.","In the DoDAF Systems Viewpoint, identify the model that provides a matrix representation of system-to-system relationships. Respond with the model identifier and name (e.g., ""SV-x <title>""). Answer in 3–7 words.",SV-3 Systems-Systems Matrix,"2 points: Provides both the correct identifier and title, e.g., ""SV-3 Systems-Systems Matrix"". Accept minor punctuation/hyphenation or order variations such as ""Systems–Systems Matrix (SV-3)"" or ""SV3 Systems Systems Matrix""; case-insensitive.","1 point: Provides only the correct identifier (""SV-3"") without the title, or only the correct title (""Systems-Systems Matrix"") without the identifier, or a close variant like ""System-to-System Matrix"" with the right identifier.","0 points: Any other SV model (e.g., SV-4, SV-5b, SV-6), incorrect or vague terms (e.g., ""systems interface matrix"" without the correct identifier or title), or no answer.",Remember,The task requires recalling a specific named model from DoDAF without interpretation or application.
770,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,What is detailed in the SV-4 Systems Functionality Description within the Systems Viewpoint?,The physical deployment locations of systems,The metrics used to measure system performance,The functions performed by systems and the data flows among them,The forecast of technology advancements affecting the systems,C,2,"SV-4 Systems Functionality Description focuses on the functions that systems perform and the system data flows among these functions, essential for understanding operational capabilities and system design .",Yes,9,9,"This is a definitional item with a clear canonical answer: SV-4 describes the functions performed by systems and the data/functional flows among those functions (often including mappings to operational activities). It can be answered concisely without options, with minimal ambiguity and the construct preserved; only minor phrasing variance keeps it from a perfect score.","In the context of the DoDAF Systems Viewpoint, what does the SV-4 Systems Functionality Description detail? Answer in 1–2 sentences.",It details the functions performed by systems and the data flows (information exchanges) among those functions.,"3 points: Clearly states both elements: (1) the functions performed by systems, and (2) the data flows/information exchanges among those functions. Acceptable synonyms: ""system functions,"" ""functional activities,"" ""information flows,"" ""data exchanges,"" ""interfaces"" (when clearly referring to data/information flows).","2 points: Mentions both system functions and connections/interfaces but is vague about them being data/information flows (e.g., ""system functions and their interfaces"" without specifying data). OR mentions data/information flows among functions but omits that the functions are performed by systems.
1 point: Mentions only one of the two key elements (either system functions or data/information flows) or provides a generally correct but incomplete description.","0 points: Describes unrelated content such as physical deployment locations, performance metrics, technology forecasts, or any answer not referencing system functions or data/information flows.",Remember,"The task requires recalling the standard definition of the SV-4 artifact within DoDAF, without analysis or application."
771,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,How does the SV-5a Operational Activity to Systems Function Traceability Matrix benefit the architectural planning process?,By mapping system functions back to operational activities,By detailing the steps toward system evolution,By providing a forecast of required system technologies and skills,By outlining the measures of system interactions,A,0,"SV-5a helps in aligning systems with operational activities, showing how specific systems support various operational needs, thus aiding in the integration and planning of system functionalities within the operational architecture .",Yes,8,8,"This asks for a concise, canonical rationale: SV-5a enables traceability from operational activities to system functions, supporting alignment, gap/redundancy detection, and impact analysis—answerable in a few sentences without options. Although multiple valid benefits may be mentioned, the construct and intent are preserved and scope is tight; only minor rewording would be needed.","In DoDAF, what is the primary way the SV-5a Operational Activity to Systems Function Traceability Matrix benefits architectural planning? Answer in 1–2 sentences.","It maps (traces) system functions to operational activities, aligning systems with operational needs to support integration and planning.","2 points: Clearly states that SV-5a maps/traces/links system functions to operational activities. Acceptable synonyms: ""maps,"" ""traces,"" ""links,"" ""associates""; ""system functions"" may be stated as ""functional capabilities""; ""operational activities"" may be stated as ""operational tasks/activities."" Mention of alignment/integration is acceptable but not required for full credit.","1 point: Conveys alignment of systems with operational needs or shows how systems support operations but does not explicitly mention mapping/tracing functions to operational activities; OR vaguely says it ""shows relationships between systems and operations"" without specifying the functions-to-activities traceability.","0 points: Gives an incorrect benefit (e.g., roadmapping system evolution, forecasting technologies/skills, measuring system interactions) or provides only generic/irrelevant statements without referring to the functions-to-activities relationship.",Remember,The task asks for recall of the defined purpose of the SV-5a view—its primary benefit—without requiring analysis or application.
772,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,Which Systems Viewpoint model outlines the sequence of interactions between systems and system functions?,SV-10c Systems Event-Trace Description,SV-6 Systems Resource Flow Matrix,SV-4 Systems Functionality Description,SV-7 Systems Performance Parameters Matrix,A,0,"SV-10c Systems Event-Trace Description provides a sequence diagram that illustrates the interactions between systems and system functions over time, crucial for understanding the temporal dependencies and behaviors of system interactions.",Yes,9,9,"There is a clear canonical answer (SV-10c Systems Event-Trace Description), so it’s assessable without options and preserves the construct. The scope is tight and answerable in a short phrase, with only minor potential ambiguity (e.g., confusing with SV-10b) that does not undermine validity.","In DoDAF Systems Viewpoint (SV), which specific model describes the time-ordered sequence of interactions between systems and system functions? Provide the exact model identifier and name. Answer in 3–8 words.",SV-10c Systems Event-Trace Description,"2 points: States both the correct identifier and name, e.g., ""SV-10c Systems Event-Trace Description."" Accept minor punctuation/spelling/case variants such as hyphen/spacing differences (e.g., ""Event Trace""). Accept reversed order (e.g., ""Systems Event-Trace Description (SV-10c)"").","1 point: Provides only one correct element (either the identifier ""SV-10c"" or the correct model name ""Systems Event-Trace Description"") or gives both with a small but non-meaningful omission (e.g., missing the word ""Systems"" but clearly identifies the Event-Trace Description).","0 points: Provides an incorrect model (e.g., SV-6, SV-4, SV-7), a vague description without the correct identifier/name, or unrelated content.",Remember,"The task requires recalling the exact DoDAF SV model identifier and title associated with a known description, reflecting simple retrieval of a specific fact."
773,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,What is the purpose of the SV-7 Systems Performance Parameters Matrix in the Systems Viewpoint of DoDAF?,To define the operational procedures for system maintenance,To list the security requirements for each system,To specify performance parameters and metrics for system elements for a given timeframe,To map systems to their physical locations,C,2,"SV-7 Systems Performance Parameters Matrix details the performance parameters and metrics for system elements, which is essential for ensuring that systems meet operational and functional requirements.",Yes,10,10,"This is a clear definition/purpose question with a canonical answer about SV-7’s role in documenting system performance parameters and their association to functions. It is fully assessable without options, preserves the construct when options are removed, and fits succinctly in 1–3 sentences. Ambiguity is minimal and the intent/semantics remain intact.","In the Systems Viewpoint of DoDAF, what is the purpose of the SV-7 Systems Performance Parameters Matrix? Answer in 1–2 sentences.","It specifies/captures the performance parameters and metrics for system elements, including their required values over a defined timeframe (e.g., phases or periods).","3 points: States that SV-7 specifies (or captures/defines) performance parameters and metrics for system elements and explicitly notes the time dimension (e.g., for a given timeframe, period, or phase). Acceptable synonyms: ""performance measures,"" ""measurable performance criteria,"" ""quantitative performance targets."" Acceptable referents for scope: ""system elements,"" ""systems and their elements/components.""","2 points: Identifies SV-7 as defining performance parameters/metrics for system elements but omits the timeframe/temporal aspect. 1 point: Mentions performance parameters or metrics in relation to systems but is vague on scope (e.g., not clearly tied to system elements) or mixes in minor inaccuracies while still indicating it is about performance specification.","0 points: States an incorrect purpose (e.g., maintenance procedures, security requirements, or physical location mapping), confuses SV-7 with another DoDAF view, or provides an unrelated or blank answer.",Remember,"The prompt asks for recall of a specific DoDAF artifact’s purpose, requiring retrieval of a factual definition without analysis or application."
774,DODAF,INCOSEHandbook/Cross-Cutting Systems Engineering Methods/Model-Based Systems Engineering/Modeling Frameworks and Methods,Which diagram within the Systems Viewpoint shows how systems are linked to the capabilities they are designed to achieve?,SV-5b Operational Activity to Systems Traceability Matrix,SV-8 Systems Evolution Description,SV-9 Technology Forecast,SV-1 Systems Interface Description,A,0,"SV-5b Operational Activity to Systems Traceability Matrix illustrates the relationships between operational activities and the systems that support them, mapping how systems contribute to achieving specific capabilities.",Yes,8,8,"There is a clear canonical answer (e.g., SV-5c: System Functions-to-Capabilities Mapping), so it can be assessed without options and in a tightly scoped, one-line response. Removing options does not change the construct being measured. Minor ambiguity may arise from framework/version naming variants, requiring slight rewording or acceptance of equivalent labels.","Within DoDAF’s Systems Viewpoint, identify the specific product that depicts how systems are linked to the capabilities they are designed to achieve. Provide the exact product identifier and title in one line (format: ""SV-# Title"").",SV-5b Operational Activity to Systems Traceability Matrix,"2 points: Provides both the correct identifier and title, e.g., ""SV-5b Operational Activity to Systems Traceability Matrix."" Minor variations in hyphenation/plurals/capitalization are acceptable (e.g., ""Operational Activities-to-Systems Traceability Matrix"").","1 point: Provides either the correct identifier (SV-5b) without an acceptable title, or the correct title without the identifier. Small omissions like dropping the word ""Matrix"" but otherwise clearly identifying the product may earn 1 point if the identifier is present.","0 points: Incorrect product (e.g., SV-1, SV-8, SV-9, SV-5a) or vague/incorrect titles (e.g., ""Systems Interface Description,"" ""Systems Evolution Description,"" ""Technology Forecast,"" or ""Operational Activity to Systems Function Traceability""). Missing or indecipherable answer.",Remember,"The task requires recalling the specific DoDAF Systems Viewpoint product name and identifier from memory, without analysis or application."
